0,1,2,3,4
kmeans,0.1,SGD_Nesterov_momentum,10,sigmoid
smote,0.8,SGD_Nesterov_momentum,50,sigmoid
kmeans,0.8,SGD_Nesterov_momentum,10,tanh
kmeans,0.01,Adam,3,sigmoid
kmeans,0.4,SGD_Nesterov_momentum,50,sigmoid
kmeans,0.01,SGD_Nesterov_momentum,50,tanh
kmeans,0.01,RMSProp,50,tanh
adapted_smote,0.8,RMSProp,3,sigmoid
adapted_smote,0.1,Adam,50,tanh
kmeans,0.4,RMSProp,3,tanh
kmeans,0.4,SGD_Nesterov_momentum,50,tanh
kmeans,0.01,SGD_Nesterov_momentum,3,tanh
smote,0.01,SGD_Nesterov_momentum,3,tanh
kmeans,0.4,Adam,3,tanh
adapted_smote,0.8,Adam,3,sigmoid
smote,0.4,RMSProp,3,tanh
kmeans,0.01,SGD_Nesterov_momentum,10,tanh
kmeans,0.1,Adam,3,tanh
kmeans,0.8,RMSProp,3,tanh
kmeans,0.4,RMSProp,10,sigmoid
smote,0.8,RMSProp,10,sigmoid
smote,0.1,Adam,3,sigmoid
smote,0.4,SGD_Nesterov_momentum,3,tanh
kmeans,0.8,RMSProp,3,sigmoid
kmeans,0.8,Adam,10,tanh
kmeans,0.1,Adam,50,sigmoid
adapted_smote,0.4,RMSProp,10,sigmoid
adapted_smote,0.1,SGD_Nesterov_momentum,3,sigmoid
smote,0.1,RMSProp,50,sigmoid
adapted_smote,0.4,RMSProp,10,tanh
smote,0.4,Adam,3,sigmoid
smote,0.4,SGD_Nesterov_momentum,3,sigmoid
smote,0.4,Adam,3,tanh
adapted_smote,0.1,Adam,3,sigmoid
smote,0.8,RMSProp,3,sigmoid
smote,0.1,Adam,50,tanh
kmeans,0.4,Adam,10,tanh
smote,0.1,Adam,10,sigmoid
kmeans,0.8,Adam,3,sigmoid
adapted_smote,0.1,Adam,3,tanh
kmeans,0.8,RMSProp,10,sigmoid
smote,0.8,Adam,10,tanh
adapted_smote,0.4,Adam,3,sigmoid
smote,0.01,SGD_Nesterov_momentum,10,sigmoid
adapted_smote,0.8,RMSProp,10,sigmoid
smote,0.4,Adam,10,sigmoid
adapted_smote,0.8,Adam,3,tanh
adapted_smote,0.8,RMSProp,10,tanh
smote,0.8,Adam,50,tanh
kmeans,0.4,SGD_Nesterov_momentum,10,sigmoid
kmeans,0.4,Adam,50,tanh
smote,0.4,RMSProp,10,tanh
adapted_smote,0.4,Adam,10,tanh
kmeans,0.8,RMSProp,50,tanh
smote,0.8,Adam,3,tanh
smote,0.8,Adam,10,sigmoid
kmeans,0.8,RMSProp,10,tanh
adapted_smote,0.4,Adam,50,tanh
adapted_smote,0.8,RMSProp,3,tanh
smote,0.4,RMSProp,50,tanh
smote,0.8,RMSProp,50,tanh
smote,0.8,RMSProp,10,tanh
adapted_smote,0.8,Adam,50,tanh
adapted_smote,0.4,RMSProp,50,tanh
smote,0.1,Adam,50,sigmoid
adapted_smote,0.8,Adam,10,tanh
kmeans,0.4,SGD_Nesterov_momentum,3,sigmoid
adapted_smote,0.8,RMSProp,50,tanh
adapted_smote,0.01,SGD_Nesterov_momentum,3,sigmoid
kmeans,0.8,Adam,50,tanh
smote,0.4,Adam,50,tanh
adapted_smote,0.8,Adam,50,sigmoid
kmeans,0.1,SGD_Nesterov_momentum,3,sigmoid
kmeans,0.01,SGD_Nesterov_momentum,3,sigmoid
kmeans,0.8,Adam,10,sigmoid
adapted_smote,0.4,Adam,10,sigmoid
smote,0.8,Adam,50,sigmoid
adapted_smote,0.4,RMSProp,50,sigmoid
smote,0.4,Adam,50,sigmoid
smote,0.8,RMSProp,50,sigmoid
adapted_smote,0.8,Adam,10,sigmoid
adapted_smote,0.4,Adam,50,sigmoid
kmeans,0.8,Adam,50,sigmoid
kmeans,0.4,Adam,50,sigmoid
kmeans,0.4,RMSProp,50,sigmoid
smote,0.8,Adam,3,sigmoid
kmeans,0.01,SGD_Nesterov_momentum,50,sigmoid
kmeans,0.8,RMSProp,50,sigmoid
